nodeId	coords	edges
4865795_4	[47.37442223877876, 8.541682466770787, 456.04989358689636]	['6115969_1', '6115564_1', '4865795_0']
4865553_0	[47.373985380458315, 8.530117161120444, 457.9416983332485]	['4865553_1', '4865543_0', '4869787_0']
4865553_1	[47.374320067941504, 8.53080598226679, 457.870119580999]	['4865553_0', '4865543_3', '4869779_0']
6265787_0	[47.38730803368638, 8.525355761479696, 458.4572201296687]	['4861619_2', '4868636_0', '6166972_1']
6114281_30	[47.367388054955434, 8.52899281723422, 470.1072789123282]	['6244356_3', '4861027_12', '6117209_3']
4858961_2	[47.372485391109066, 8.542766024886413, 455.1649246700108]	['4859179_0', '4858081_2', '4859180_2']
4865397_5	[47.37567387781633, 8.524015904786184, 458.362368603237]	['4865788_2', '4868909_0', '6114962_10', '4858948_0']
6112697_0	[47.370755113963156, 8.51669921817173, 463.6217357823625]	['4862095_0', '4869812_4', '4869818_8']
6127715_6	[47.3849264546791, 8.537442407438897, 469.9963638186455]	['6127715_4', '6127715_4', '4868715_15', '6127715_19']
6127715_4	[47.384976274527446, 8.537344405232652, 470.25633060373366]	['6127715_6', '6127664_0', '6127715_6', '4868715_21']
4858544_0	[47.369706655328976, 8.53689827186494, 456.5231875423342]	['4858544_6', '4858538_1', '4862532_0', '4857426_0']
4858544_6	[47.36948341876876, 8.536428182059163, 456.59125147294253]	['4858544_0', '6115966_6', '4858538_0']
6078105_0	[47.37533379211598, 8.51099743219766, 461.0863476591185]	['6078105_2']
6078105_2	[47.375047026537054, 8.511431007435824, 461.4296712940559]	['6078105_0', '6078104_3', '6078168_2']
4866363_11	[47.36443625053113, 8.530074339218451, 462.91399419214576]	['6108945_1', '6114023_18', '4866363_0', '6114166_0']
4865546_11	[47.37466578007051, 8.5373082555217, 457.30565730761737]	['4865402_6', '4865986_1', '4862314_1']
5949032_1	[47.36739360375443, 8.52333328475822, 461.89995777700096]	['4866610_0', '4741711_3', '4857452_0']
6245582_0	[47.36367387889163, 8.523194287969323, 466.85093168821186]	['6245590_0', '6114174_21', '6245590_4']
6234830_0	[47.38711474352379, 8.519269574462836, 450.9268493782729]	['4863763_7', '6234831_2', '6234831_2']
6245478_0	[47.37236030082247, 8.544341896186838, 464.3606665171683]	['6245474_7', '4866005_0', '4859184_1']
6128165_9	[47.38580290449059, 8.544265889291704, 506.6551669081673]	['6128164_0', '6128165_0', '6388832_6']
4865212_0	[47.38341440016365, 8.549507116702992, 540.2012051092461]	['6166581_4', '4865212_7', '4869278_0']
6247120_0	[47.37114518170521, 8.541990911595382, 453.27625080849975]	['6245433_0']
4869831_15	[47.37098595807698, 8.53131837132391, 460.92542351502925]	['6114343_15', '6244879_1', '6114349_1', '6244926_8']
4864828_0	[47.37009073857344, 8.544786658274232, 467.4942202595994]	['4862099_7', '4864828_10', '6106662_0']
6112698_4	[47.37553725351176, 8.514871573211485, 459.98891949560493]	['6112700_0', '4869049_3', '4858941_0']
6127820_0	[47.385480288518224, 8.537643517198184, 476.5096946489066]	['6127824_0', '6127819_0', '6127817_17']
6048820_1	[47.37037137678635, 8.514453532237873, 466.28600656148046]	['6048814_1', '6048767_0', '6048766_0']
6105033_7	[47.372623815028824, 8.547474703794588, 468.68480957951397]	['6106667_0', '4858209_9', '6105033_0']
6127875_4	[47.382723330475, 8.540033905785718, 459.2965863728896]	['6127876_0', '6128005_5', '6128005_5', '4865224_0']
4857985_1	[47.38665767157917, 8.540231893164961, 490.0469690412283]	['4857984_1', '4861630_0', '4863940_3']
6240865_0	[47.37249142116873, 8.534541808242158, 457.9601959064603]	['6115603_12', '6115958_4', '6115958_4']
4856970_5	[47.38719764349, 8.539010904265245, 486.76176909171045]	['4856970_0', '6128161_0', '4751007_6']
4856970_0	[47.38770537166507, 8.538476779183581, 486.4629623843357]	['4868624_3', '4856970_5', '4861450_3', '4863935_1']
4858550_1	[47.369023376570645, 8.550226754342113, 471.0465539144352]	['4859218_1', '4864836_10', '6104803_7']
6112489_6	[47.36646227379596, 8.514170680840273, 477.06462874263525]	['6051733_6', '6112489_0', '6112488_0']
4856931_0	[47.38566607706099, 8.546868688098407, 522.1949047259986]	['6128217_4', '6128219_6', '4860532_3']
4861934_5	[47.371925747152396, 8.539885057734402, 461.82330903597176]	['4858084_1', '4861934_0', '4865527_0']
6108948_2	[47.366682378032216, 8.5315223208338, 465.3445985754952]	['6108948_3', '4869776_5', '6117207_0', '6114172_26']
6108948_3	[47.36666884454437, 8.531506645700286, 465.2756501371041]	['6108948_2', '6114172_22', '6117209_14', '4866198_0']
6114780_0	[47.37310566338588, 8.524217993312906, 459.04196046013385]	['4865572_0', '6114780_13', '4869800_7']
